agent_id,agent_name,role_title,company,department,has_company,has_department,is_frontend_expert,is_design_expert,is_backend_only,is_non_technical,is_student,is_academic,company_tier,seniority_level,experience_years,prompt_length,prompt_word_count,role_count,context_count,capabilities_count,task_approach_count,rules_count,constraints_count,output_format_count
1,001_deneme_basic,Frontend Developer,,,False,False,True,True,False,False,True,False,0,0,0,1717,272,2,3,5,5,4,4,1
1,001_ms_senior_frontend_dev,Senior Frontend Developer,Microsoft,Software Engineering Department,True,True,True,True,False,False,False,False,3,4,7,3246,488,4,5,7,7,5,5,3
2,002_ms_ux_lead,UX Lead,Microsoft,Design Department,True,True,True,True,False,False,True,False,3,4,8,3203,488,4,5,7,7,5,4,3
3,003_ms_engineering_manager,Engineering Manager,Microsoft,Engineering Department,True,True,True,True,False,True,False,True,3,4,10,3272,505,4,5,7,7,5,5,3
4,004_google_staff_ux_eng,Staff UX Engineer,Google,Frontend Engineering Department,True,True,True,True,False,False,False,False,3,4,9,3340,500,5,5,7,7,5,5,3
5,005_google_senior_sre,Senior SRE,Google,Platform Department,True,True,True,True,False,False,False,False,3,3,6,3542,536,5,5,7,7,5,4,4
6,006_google_design_lead,Design Lead,Google,Design Department,True,True,True,True,False,False,True,False,3,4,8,2462,380,4,5,6,6,4,4,3
7,007_apple_senior_ui_eng,Senior UI Engineer,Apple,Software Engineering Department,True,True,True,True,False,False,False,False,3,4,7,2404,363,4,5,6,6,4,4,3
8,008_apple_hig_design_lead,HIG Design Lead,Apple,Human Interface Department,True,True,True,True,False,False,False,False,3,4,10,2443,373,5,5,6,6,4,4,3
9,009_apple_frontend_architect,Frontend Architect,Apple,Web Technologies Department,True,True,True,True,False,False,False,False,3,4,12,2469,364,4,5,6,6,4,4,3
10,010_meta_senior_product_designer,Senior Product Designer,Meta,Product Design Department,True,True,True,True,False,False,False,False,3,3,6,2176,335,4,5,6,6,4,4,3
11,011_meta_staff_frontend_eng,Staff Frontend Engineer,Meta,Frontend Engineering Department,True,True,True,True,False,False,False,False,3,4,8,2279,338,4,5,6,6,4,4,3
12,012_meta_design_systems_lead,Design Systems Lead,Meta,Design Systems Department,True,True,True,True,False,False,False,True,3,4,7,2246,334,4,5,6,6,4,4,3
13,013_amazon_senior_ux_designer,Senior UX Designer,Amazon,UX Design Department,True,True,True,True,False,False,False,False,3,3,6,2101,329,4,5,6,6,4,4,3
14,014_amazon_frontend_tech_lead,Frontend Tech Lead,Amazon,Web Development Department,True,True,True,True,False,False,False,False,3,4,9,2072,312,4,5,6,5,4,4,3
15,015_amazon_accessibility_eng,Accessibility Engineer,Amazon,Accessibility Department,True,True,True,True,False,False,False,False,3,4,5,2453,356,3,5,6,6,4,4,3
16,016_salesforce_senior_lightning_dev,Senior Lightning Developer,Salesforce,Lightning Platform Department,True,True,True,True,False,False,False,False,3,4,6,2058,303,4,5,6,5,3,4,3
17,017_salesforce_ux_researcher,UX Researcher,Salesforce,UX Research Department,True,True,True,True,False,False,False,True,3,4,5,1994,302,4,5,5,5,4,4,3
18,018_salesforce_platform_eng,Platform Engineer,Salesforce,Platform Engineering Department,True,True,True,True,False,False,False,False,3,4,7,1909,287,5,5,6,5,3,4,3
19,019_adobe_senior_creative_dev,Senior Creative Developer,Adobe,Creative Cloud Department,True,True,True,True,False,False,False,False,3,4,8,1934,295,3,5,6,5,3,4,3
20,020_adobe_design_technologist,Design Technologist,Adobe,Design Technology Department,True,True,True,True,False,False,False,False,3,4,6,1883,296,4,4,6,4,3,4,3
21,021_adobe_frontend_architect,Frontend Architect,Adobe,Web Platform Department,True,True,True,True,False,False,False,True,3,4,10,2016,303,4,5,6,5,3,4,3
22,022_oracle_senior_ui_dev,Senior UI Developer,Oracle,Cloud UI Department,True,True,True,True,False,False,False,False,3,4,7,1921,296,4,5,6,5,3,4,3
23,023_oracle_ux_lead,UX Lead,Oracle,UX Design Department,True,True,True,True,False,False,False,True,3,4,8,1902,291,4,5,6,5,3,4,3
24,024_oracle_cloud_frontend_eng,Cloud Frontend Engineer,Oracle,Cloud Engineering Department,True,True,True,True,False,False,False,False,3,0,6,1986,298,4,5,6,5,3,4,3
25,025_oracle_accessibility_specialist,Accessibility Specialist,Oracle,Accessibility Department,True,True,True,True,False,False,False,False,3,4,5,2059,309,3,5,6,6,3,4,3
26,026_vercel_fullstack_dev,,,,False,False,True,True,False,False,False,False,2,4,2,2647,415,5,5,6,6,5,4,3
27,027_linear_frontend_dev,,,,False,False,True,True,False,False,False,False,1,4,3,2819,440,5,5,6,6,5,4,3
28,028_supabase_ui_eng,,,,False,False,True,True,False,False,False,False,1,4,2,2671,417,6,5,6,6,4,3,3
29,029_retool_frontend_dev,,,,False,False,True,True,False,False,True,False,1,4,1,2682,427,5,5,6,6,4,3,4
30,030_railway_fullstack_dev,,,,False,False,True,True,False,False,False,False,1,0,2,2613,400,5,5,6,6,4,4,3
31,031_resend_creative_dev,,,,False,False,True,True,False,False,False,False,1,4,1,1892,283,4,5,6,5,3,3,3
32,032_liveblocks_frontend_eng,,,,False,False,True,True,False,False,False,False,1,4,3,1776,271,4,5,6,4,3,4,3
33,033_calcom_cto,,,,False,False,True,True,False,False,False,False,1,4,4,1801,283,4,5,6,4,3,4,3
34,034_stripe_mid_frontend_dev,,,,False,False,True,True,False,False,False,False,2,2,3,1889,291,4,5,6,4,3,4,3
35,035_figma_product_designer,,,,False,False,True,True,False,False,False,False,2,4,4,1802,279,4,5,6,5,3,4,3
36,036_notion_frontend_eng,,,,False,False,True,True,False,False,False,False,2,4,3,1718,264,4,4,6,4,3,3,3
